molecule_chembl_id,canonical_smiles,standard_value,standard_value_norm,pIC50
CHEMBL115580,CC1Cc2c(nc3ccccc3c2N)C1(C)O,134000.0,134000.0,3.872895201635189
CHEMBL119528,CCCCC1(O)c2nc3ccccc3c(N)c2CC1C,91000.0,91000.0,4.040958607678902
CHEMBL119390,CC1=C(C)c2nc3ccccc3c(N)c2C1,3500.0,3500.0,5.4559319556496
CHEMBL119389,CCCCC1=C(C)Cc2c1nc1ccccc1c2N,25000.0,25000.0,4.602059991327945
CHEMBL1085276,O=C1c2ccccc2CC1CC1CCN(c2ccccc2)CC1,150.0,150.0,6.823908740941423
CHEMBL1083677,O=C1c2ccccc2CCC1CC1CCN(c2ccccc2)CC1,2100.0,2100.0,5.6777807052658735
CHEMBL1083678,O=C1c2ccccc2CCCC1CC1CCN(c2ccccc2)CC1,15000.0,15000.0,4.823908740944289
CHEMBL1083982,COc1cc2c(cc1OC)C(=O)C(CC1CCN(c3ccccc3)CC1)C2,5.7,5.7,8.244125144251317
CHEMBL1083056,COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,300.0,300.0,6.52287874527889
CHEMBL1085277,COc1cc2c(cc1OC)CC(CC1CCN(c3ccccc3)CC1)=C2,4400.0,4400.0,5.3565473235137135
CHEMBL1085278,CNC(=O)Oc1cccc(CN(C)CCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,6.8,6.8,8.167491087229896
CHEMBL1085526,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,11.7,11.7,7.931814138216719
CHEMBL1085527,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,21.8,21.8,7.661543506375473
